Mouse,UniqueID,DateVR,CellNum,SessionVR,SessionTypeVR,Cell,DateOF,BoxSize,Tetrode,Cluster,SessionTypeOF,SessionOF,MeanRateOF,GridScore,CoherenceOF,StabilityOF,MVL,Coverage,BorderScore,SpeedScore,FieldSpacingOF,FieldSizeOF,MeanRateOF_SpeedFilt,PeakRateOF
Ariana,Ariana32,08/11/2016,32,0811_1,normal,T2C1,08/11/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0811_1,2.915,NaN,1.693,0.973,0.253,96,0.764,0.164302794,58.65333333,42.36,3.233,28.468
Shakira,Shakira61,03/15/2016,61,0315_1,normal,T1C4,03/16/2016,91.4,1,4,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0316_noobject_1,2.315,1.1335,0.987,0.691,0.076,96.17,-1,0.138561676,29.80333333,10.742,3.359,24.641
JLo,JLo44,08/18/2016,44,0818_1,normal,T2C1,08/18/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0818_1,5.591,1.1054,0.481,0.34,0.105,96.32,0.462,0.128075536,34.64,10.742,5.955,14.803
Madonna,Madonna18,03/25/2016,18,0325_1,normal,T1C1,03/26/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Madonna\OF\databaseFiles\Madonna\OF\0326_4+_3+_2+_1,0.502,1.1014,0.219,0.15,0.098,84.68,0.035,0.038435242,39.61,10.429,0.519,2.322
Barbara,Barbara116,06/03/2015,116,0603_1,normal,T1C1,06/03/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,0.961,1.0628,0.266,0.52,0.104,87.06,-0.155,0.067574758,42.18333333,11.626,0.971,7.525
Christina,Christina43,08/31/2016,43,0831_1,normal,T1C5,08/31/2016,91.4,1,5,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0831_1,2.84,1.0362,0.805,0.754,0.511,95.5,-0.562,-0.009901256,48.66,17.124,2.689,24.603
Shakira,Shakira74,03/17/2016,74,0317_1,normal,T2C7,03/17/2016,91.4,2,7,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0317_6+_5+_4+_3+_2+_1,0.349,1.0244,0.356,0.264,0.274,96.7,0.059,0.001423923,68.06,17.878,0.404,2.095
Winehouse,Winehouse24,11/16/2015,24,1116_1,normal,T1C3,11/16/2015,62,1,3,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_smallbox_5+_4+_3+_2+_1,1.57,0.9528,0.586,0.329,0.017,97.92,0.321,0.07274571,36.41333333,11.496,1.818,5.967
Barbara,Barbara123,06/05/2015,123,0605_1,normal,T2C1,06/05/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,2.885,0.9463,0.564,-0.004,0.182,93.25,0.111,0.173035864,33.96333333,10.742,3.313,20.455
Daenerys,Daenerys25,02/15/2016,25,0215_1,normal,T1C3,02/15/2016,91.4,1,3,noobject2-tangled,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0215_noobject_2+_1,2.813,0.9232,0.708,0.385,0.123,97,0.097,0.070183172,26.48666667,10.742,3.039,16.727
